timestamp_heure,etat,p_it_kw,source
2024-01-02 21:00:00,idle,1.74,simulation
2024-01-02 22:00:00,training,45.11,simulation
2024-01-02 23:00:00,training,46.7,simulation
2024-01-03 00:00:00,training,47.63,simulation
2024-01-03 01:00:00,training,47.22,simulation
2024-01-03 02:00:00,training,46.39,simulation
2024-01-03 03:00:00,training,42.69,simulation
2024-01-03 04:00:00,training,46.31,simulation
2024-01-03 05:00:00,training,48.42,simulation
2024-01-03 06:00:00,training,48.03,simulation
2024-01-03 07:00:00,training,46.83,simulation
2024-01-03 08:00:00,training,47.68,simulation
2024-01-03 09:00:00,training,45.91,simulation
2024-01-03 10:00:00,training,48.13,simulation
2024-01-03 11:00:00,training,47.68,simulation
2024-01-03 12:00:00,training,45.51,simulation
2024-01-03 13:00:00,training,45.85,simulation
2024-01-03 14:00:00,idle,6.88,simulation
2024-01-03 15:00:00,idle,5.75,simulation
2024-01-03 16:00:00,idle,5.97,simulation
2024-01-03 17:00:00,idle,7.1,simulation
2024-01-03 18:00:00,idle,5.29,simulation
2024-01-03 19:00:00,training,44.69,simulation
2024-01-03 20:00:00,training,46.43,simulation
2024-01-03 21:00:00,training,48.29,simulation
2024-01-03 22:00:00,training,47.86,simulation
2024-01-03 23:00:00,training,49.2,simulation
2024-01-04 00:00:00,training,47.66,simulation
2024-01-04 01:00:00,training,45.06,simulation
2024-01-04 02:00:00,training,44.66,simulation
2024-01-04 03:00:00,training,44.77,simulation
2024-01-04 04:00:00,idle,0.5,simulation
2024-01-04 05:00:00,inference,15.2,simulation
2024-01-04 06:00:00,inference,14.48,simulation
2024-01-04 07:00:00,inference,18.79,simulation
2024-01-04 08:00:00,inference,22.73,simulation
2024-01-04 09:00:00,inference,21.34,simulation
2024-01-04 10:00:00,inference,24.15,simulation
2024-01-04 11:00:00,inference,30.86,simulation
2024-01-04 12:00:00,inference,27.38,simulation
2024-01-04 13:00:00,inference,28.79,simulation
2024-01-04 14:00:00,training,45.67,simulation
2024-01-04 15:00:00,training,47.78,simulation
2024-01-04 16:00:00,training,44.53,simulation
2024-01-04 17:00:00,training,45.0,simulation
2024-01-04 18:00:00,training,46.26,simulation
2024-01-04 19:00:00,training,47.5,simulation
2024-01-04 20:00:00,training,47.77,simulation
2024-01-04 21:00:00,training,47.6,simulation
2024-01-04 22:00:00,training,43.78,simulation
2024-01-04 23:00:00,training,45.89,simulation
2024-01-05 00:00:00,training,48.7,simulation
2024-01-05 01:00:00,inference,14.7,simulation
2024-01-05 02:00:00,inference,11.93,simulation
2024-01-05 03:00:00,inference,17.5,simulation
2024-01-05 04:00:00,inference,12.08,simulation
2024-01-05 05:00:00,inference,13.15,simulation
2024-01-05 06:00:00,inference,21.42,simulation
2024-01-05 07:00:00,training,44.87,simulation
2024-01-05 08:00:00,training,49.47,simulation
2024-01-05 09:00:00,training,48.73,simulation
2024-01-05 10:00:00,training,44.04,simulation
2024-01-05 11:00:00,training,45.3,simulation
2024-01-05 12:00:00,training,49.21,simulation
2024-01-05 13:00:00,training,45.53,simulation
2024-01-05 14:00:00,training,49.2,simulation
2024-01-05 15:00:00,training,42.88,simulation
2024-01-05 16:00:00,training,47.29,simulation
2024-01-05 17:00:00,training,47.77,simulation
2024-01-05 18:00:00,training,47.73,simulation
2024-01-05 19:00:00,training,49.05,simulation
2024-01-05 20:00:00,training,45.03,simulation
2024-01-05 21:00:00,idle,2.46,simulation
2024-01-05 22:00:00,idle,3.98,simulation
2024-01-05 23:00:00,idle,3.4,simulation
2024-01-06 00:00:00,idle,2.27,simulation
2024-01-06 01:00:00,inference,6.65,simulation
2024-01-06 02:00:00,inference,6.96,simulation
2024-01-06 03:00:00,inference,8.89,simulation
2024-01-06 04:00:00,inference,6.49,simulation
2024-01-06 05:00:00,inference,7.23,simulation
2024-01-06 06:00:00,inference,11.31,simulation
2024-01-06 07:00:00,inference,14.41,simulation
2024-01-06 08:00:00,inference,8.74,simulation
2024-01-06 09:00:00,inference,19.22,simulation
2024-01-06 10:00:00,training,48.27,simulation
2024-01-06 11:00:00,training,47.42,simulation
2024-01-06 12:00:00,training,48.96,simulation
2024-01-06 13:00:00,training,45.84,simulation
2024-01-06 14:00:00,training,49.61,simulation
2024-01-06 15:00:00,training,45.67,simulation
2024-01-06 16:00:00,training,45.85,simulation
2024-01-06 17:00:00,training,49.01,simulation
2024-01-06 18:00:00,training,45.84,simulation
2024-01-06 19:00:00,inference,14.85,simulation
2024-01-06 20:00:00,inference,10.97,simulation
2024-01-06 21:00:00,inference,9.81,simulation
2024-01-06 22:00:00,inference,6.13,simulation
2024-01-06 23:00:00,inference,10.24,simulation
2024-01-07 00:00:00,inference,4.1,simulation
2024-01-07 01:00:00,inference,4.1,simulation
2024-01-07 02:00:00,inference,6.06,simulation
2024-01-07 03:00:00,inference,6.87,simulation
2024-01-07 04:00:00,idle,0.5,simulation
2024-01-07 05:00:00,idle,0.5,simulation
2024-01-07 06:00:00,inference,9.54,simulation
2024-01-07 07:00:00,inference,7.58,simulation
2024-01-07 08:00:00,inference,6.36,simulation
2024-01-07 09:00:00,inference,11.1,simulation
2024-01-07 10:00:00,inference,8.4,simulation
2024-01-07 11:00:00,inference,8.82,simulation
2024-01-07 12:00:00,inference,13.53,simulation
2024-01-07 13:00:00,inference,6.5,simulation
2024-01-07 14:00:00,inference,14.3,simulation
2024-01-07 15:00:00,inference,8.95,simulation
2024-01-07 16:00:00,inference,8.96,simulation
2024-01-07 17:00:00,inference,13.5,simulation
2024-01-07 18:00:00,inference,11.46,simulation
2024-01-07 19:00:00,inference,9.8,simulation
2024-01-07 20:00:00,inference,8.37,simulation
2024-01-07 21:00:00,inference,10.19,simulation
2024-01-07 22:00:00,inference,3.46,simulation
2024-01-07 23:00:00,inference,3.89,simulation
2024-01-08 00:00:00,inference,12.13,simulation
2024-01-08 01:00:00,idle,3.94,simulation
2024-01-08 02:00:00,idle,4.71,simulation
2024-01-08 03:00:00,inference,10.54,simulation
2024-01-08 04:00:00,inference,15.93,simulation
2024-01-08 05:00:00,inference,11.06,simulation
2024-01-08 06:00:00,inference,16.58,simulation
2024-01-08 07:00:00,inference,18.21,simulation
2024-01-08 08:00:00,inference,16.87,simulation
2024-01-08 09:00:00,inference,22.73,simulation
2024-01-08 10:00:00,inference,27.23,simulation
2024-01-08 11:00:00,inference,31.81,simulation
2024-01-08 12:00:00,inference,27.57,simulation
2024-01-08 13:00:00,idle,7.08,simulation
2024-01-08 14:00:00,inference,20.45,simulation
2024-01-08 15:00:00,inference,20.67,simulation
2024-01-08 16:00:00,inference,20.26,simulation
2024-01-08 17:00:00,inference,23.72,simulation
2024-01-08 18:00:00,inference,28.02,simulation
2024-01-08 19:00:00,inference,27.13,simulation
2024-01-08 20:00:00,inference,19.76,simulation
2024-01-08 21:00:00,inference,20.35,simulation
2024-01-08 22:00:00,inference,11.95,simulation
2024-01-08 23:00:00,inference,12.66,simulation
2024-01-09 00:00:00,inference,15.11,simulation
2024-01-09 01:00:00,inference,11.61,simulation
2024-01-09 02:00:00,inference,12.55,simulation
2024-01-09 03:00:00,inference,8.71,simulation
2024-01-09 04:00:00,inference,12.43,simulation
2024-01-09 05:00:00,inference,13.19,simulation
2024-01-09 06:00:00,inference,12.93,simulation
2024-01-09 07:00:00,inference,14.64,simulation
2024-01-09 08:00:00,inference,22.75,simulation
2024-01-09 09:00:00,inference,28.03,simulation
2024-01-09 10:00:00,inference,27.17,simulation
2024-01-09 11:00:00,inference,20.06,simulation
2024-01-09 12:00:00,inference,27.92,simulation
2024-01-09 13:00:00,inference,27.98,simulation
2024-01-09 14:00:00,inference,30.19,simulation
2024-01-09 15:00:00,inference,34.79,simulation
2024-01-09 16:00:00,inference,20.79,simulation
2024-01-09 17:00:00,inference,20.74,simulation
2024-01-09 18:00:00,inference,34.64,simulation
2024-01-09 19:00:00,inference,19.74,simulation
2024-01-09 20:00:00,training,50.11,simulation
2024-01-09 21:00:00,training,49.56,simulation
2024-01-09 22:00:00,training,43.74,simulation
2024-01-09 23:00:00,training,50.18,simulation
2024-01-10 00:00:00,training,44.94,simulation
2024-01-10 01:00:00,training,51.34,simulation
2024-01-10 02:00:00,training,48.19,simulation
2024-01-10 03:00:00,training,52.37,simulation
2024-01-10 04:00:00,inference,12.75,simulation
2024-01-10 05:00:00,inference,19.07,simulation
2024-01-10 06:00:00,inference,18.27,simulation
2024-01-10 07:00:00,inference,26.17,simulation
2024-01-10 08:00:00,inference,24.31,simulation
2024-01-10 09:00:00,inference,22.46,simulation
2024-01-10 10:00:00,idle,5.95,simulation
2024-01-10 11:00:00,inference,30.98,simulation
2024-01-10 12:00:00,inference,33.24,simulation
2024-01-10 13:00:00,inference,25.52,simulation
2024-01-10 14:00:00,inference,30.2,simulation
2024-01-10 15:00:00,inference,25.73,simulation
2024-01-10 16:00:00,inference,25.87,simulation
2024-01-10 17:00:00,idle,4.82,simulation
2024-01-10 18:00:00,idle,7.06,simulation
2024-01-10 19:00:00,idle,4.54,simulation
2024-01-10 20:00:00,idle,4.9,simulation
2024-01-10 21:00:00,idle,3.35,simulation
2024-01-10 22:00:00,idle,3.37,simulation
2024-01-10 23:00:00,idle,3.64,simulation
2024-01-11 00:00:00,idle,2.24,simulation
2024-01-11 01:00:00,idle,4.8,simulation
2024-01-11 02:00:00,idle,2.27,simulation
2024-01-11 03:00:00,inference,14.24,simulation
2024-01-11 04:00:00,inference,10.8,simulation
2024-01-11 05:00:00,inference,18.57,simulation
2024-01-11 06:00:00,inference,18.0,simulation
2024-01-11 07:00:00,inference,23.55,simulation
2024-01-11 08:00:00,idle,4.75,simulation
2024-01-11 09:00:00,idle,8.68,simulation
2024-01-11 10:00:00,training,48.95,simulation
2024-01-11 11:00:00,training,45.14,simulation
2024-01-11 12:00:00,training,48.07,simulation
2024-01-11 13:00:00,training,47.79,simulation
2024-01-11 14:00:00,training,49.98,simulation
2024-01-11 15:00:00,training,48.1,simulation
2024-01-11 16:00:00,training,47.22,simulation
2024-01-11 17:00:00,training,45.94,simulation
2024-01-11 18:00:00,training,48.04,simulation
2024-01-11 19:00:00,inference,15.76,simulation
2024-01-11 20:00:00,inference,16.73,simulation
2024-01-11 21:00:00,inference,16.37,simulation
2024-01-11 22:00:00,inference,11.71,simulation
2024-01-11 23:00:00,inference,13.49,simulation
2024-01-12 00:00:00,inference,9.22,simulation
2024-01-12 01:00:00,inference,10.84,simulation
2024-01-12 02:00:00,inference,14.12,simulation
2024-01-12 03:00:00,inference,11.66,simulation
2024-01-12 04:00:00,idle,3.14,simulation
2024-01-12 05:00:00,idle,3.22,simulation
2024-01-12 06:00:00,idle,2.59,simulation
2024-01-12 07:00:00,idle,4.64,simulation
2024-01-12 08:00:00,idle,3.95,simulation
2024-01-12 09:00:00,idle,4.86,simulation
2024-01-12 10:00:00,inference,26.51,simulation
2024-01-12 11:00:00,inference,22.0,simulation
2024-01-12 12:00:00,inference,23.52,simulation
2024-01-12 13:00:00,inference,26.29,simulation
2024-01-12 14:00:00,inference,23.3,simulation
2024-01-12 15:00:00,training,48.75,simulation
2024-01-12 16:00:00,training,49.07,simulation
2024-01-12 17:00:00,training,48.0,simulation
2024-01-12 18:00:00,training,47.81,simulation
2024-01-12 19:00:00,training,46.95,simulation
2024-01-12 20:00:00,training,49.39,simulation
2024-01-12 21:00:00,training,48.69,simulation
2024-01-12 22:00:00,training,48.73,simulation
2024-01-12 23:00:00,training,46.52,simulation
2024-01-13 00:00:00,training,49.89,simulation
2024-01-13 01:00:00,training,47.95,simulation
2024-01-13 02:00:00,training,48.73,simulation
2024-01-13 03:00:00,training,45.74,simulation
2024-01-13 04:00:00,training,47.66,simulation
2024-01-13 05:00:00,training,49.54,simulation
2024-01-13 06:00:00,training,47.6,simulation
2024-01-13 07:00:00,training,48.04,simulation
2024-01-13 08:00:00,training,49.34,simulation
2024-01-13 09:00:00,training,43.84,simulation
2024-01-13 10:00:00,training,46.43,simulation
2024-01-13 11:00:00,training,46.04,simulation
2024-01-13 12:00:00,training,49.42,simulation
2024-01-13 13:00:00,training,44.31,simulation
2024-01-13 14:00:00,training,46.55,simulation
2024-01-13 15:00:00,inference,13.9,simulation
2024-01-13 16:00:00,inference,19.52,simulation
2024-01-13 17:00:00,inference,14.75,simulation
2024-01-13 18:00:00,inference,14.45,simulation
2024-01-13 19:00:00,inference,13.83,simulation
2024-01-13 20:00:00,inference,9.3,simulation
2024-01-13 21:00:00,idle,1.95,simulation
2024-01-13 22:00:00,idle,1.85,simulation
2024-01-13 23:00:00,idle,0.56,simulation
2024-01-14 00:00:00,idle,1.19,simulation
2024-01-14 01:00:00,idle,1.01,simulation
2024-01-14 02:00:00,idle,2.37,simulation
2024-01-14 03:00:00,idle,1.88,simulation
2024-01-14 04:00:00,idle,0.5,simulation
2024-01-14 05:00:00,inference,5.76,simulation
2024-01-14 06:00:00,inference,3.91,simulation
2024-01-14 07:00:00,inference,9.59,simulation
2024-01-14 08:00:00,inference,11.25,simulation
2024-01-14 09:00:00,inference,14.67,simulation
2024-01-14 10:00:00,inference,12.64,simulation
2024-01-14 11:00:00,training,48.74,simulation
2024-01-14 12:00:00,training,46.84,simulation
2024-01-14 13:00:00,training,43.86,simulation
2024-01-14 14:00:00,training,45.22,simulation
2024-01-14 15:00:00,training,45.27,simulation
2024-01-14 16:00:00,training,49.24,simulation
2024-01-14 17:00:00,training,45.95,simulation
2024-01-14 18:00:00,training,47.28,simulation
2024-01-14 19:00:00,training,45.28,simulation
2024-01-14 20:00:00,training,49.23,simulation
2024-01-14 21:00:00,training,49.39,simulation
2024-01-14 22:00:00,training,50.49,simulation
2024-01-14 23:00:00,training,48.1,simulation
2024-01-15 00:00:00,training,45.98,simulation
2024-01-15 01:00:00,inference,9.2,simulation
2024-01-15 02:00:00,inference,9.49,simulation
2024-01-15 03:00:00,inference,10.09,simulation
2024-01-15 04:00:00,inference,9.61,simulation
2024-01-15 05:00:00,inference,17.2,simulation
2024-01-15 06:00:00,inference,19.65,simulation
2024-01-15 07:00:00,idle,5.61,simulation
2024-01-15 08:00:00,idle,2.69,simulation
2024-01-15 09:00:00,idle,4.62,simulation
2024-01-15 10:00:00,inference,24.66,simulation
2024-01-15 11:00:00,inference,23.74,simulation
2024-01-15 12:00:00,inference,23.25,simulation
2024-01-15 13:00:00,inference,31.53,simulation
2024-01-15 14:00:00,inference,21.8,simulation
2024-01-15 15:00:00,inference,24.9,simulation
2024-01-15 16:00:00,idle,4.82,simulation
2024-01-15 17:00:00,idle,5.81,simulation
2024-01-15 18:00:00,inference,30.18,simulation
2024-01-15 19:00:00,inference,14.92,simulation
2024-01-15 20:00:00,inference,20.89,simulation
2024-01-15 21:00:00,inference,17.94,simulation
2024-01-15 22:00:00,inference,10.69,simulation
2024-01-15 23:00:00,inference,9.35,simulation
2024-01-16 00:00:00,inference,11.82,simulation
2024-01-16 01:00:00,inference,15.87,simulation
2024-01-16 02:00:00,inference,9.21,simulation
2024-01-16 03:00:00,inference,11.2,simulation
2024-01-16 04:00:00,inference,13.76,simulation
2024-01-16 05:00:00,inference,19.48,simulation
2024-01-16 06:00:00,inference,18.31,simulation
2024-01-16 07:00:00,inference,21.82,simulation
2024-01-16 08:00:00,inference,17.99,simulation
2024-01-16 09:00:00,inference,32.7,simulation
2024-01-16 10:00:00,idle,6.37,simulation
2024-01-16 11:00:00,inference,27.32,simulation
2024-01-16 12:00:00,inference,27.74,simulation
2024-01-16 13:00:00,inference,32.09,simulation
2024-01-16 14:00:00,inference,34.41,simulation
2024-01-16 15:00:00,inference,24.24,simulation
2024-01-16 16:00:00,inference,22.92,simulation
2024-01-16 17:00:00,inference,25.57,simulation
2024-01-16 18:00:00,inference,21.23,simulation
2024-01-16 19:00:00,inference,21.17,simulation
2024-01-16 20:00:00,idle,3.94,simulation
2024-01-16 21:00:00,idle,5.66,simulation
2024-01-16 22:00:00,idle,1.96,simulation
2024-01-16 23:00:00,idle,1.94,simulation
2024-01-17 00:00:00,inference,14.53,simulation
2024-01-17 01:00:00,inference,11.42,simulation
2024-01-17 02:00:00,idle,1.86,simulation
2024-01-17 03:00:00,idle,4.21,simulation
2024-01-17 04:00:00,idle,1.06,simulation
2024-01-17 05:00:00,inference,18.18,simulation
2024-01-17 06:00:00,inference,15.95,simulation
2024-01-17 07:00:00,idle,3.41,simulation
2024-01-17 08:00:00,idle,4.04,simulation
2024-01-17 09:00:00,idle,4.57,simulation
2024-01-17 10:00:00,idle,3.84,simulation
2024-01-17 11:00:00,idle,4.11,simulation
2024-01-17 12:00:00,inference,25.33,simulation
2024-01-17 13:00:00,inference,22.96,simulation
2024-01-17 14:00:00,inference,31.95,simulation
2024-01-17 15:00:00,inference,26.06,simulation
2024-01-17 16:00:00,inference,24.16,simulation
2024-01-17 17:00:00,inference,21.94,simulation
2024-01-17 18:00:00,inference,20.12,simulation
2024-01-17 19:00:00,idle,4.39,simulation
2024-01-17 20:00:00,inference,15.14,simulation
2024-01-17 21:00:00,inference,17.76,simulation
2024-01-17 22:00:00,inference,11.52,simulation
2024-01-17 23:00:00,inference,12.45,simulation
2024-01-18 00:00:00,inference,8.85,simulation
2024-01-18 01:00:00,inference,9.47,simulation
2024-01-18 02:00:00,inference,6.6,simulation
2024-01-18 03:00:00,inference,15.84,simulation
2024-01-18 04:00:00,training,45.68,simulation
2024-01-18 05:00:00,training,47.58,simulation
2024-01-18 06:00:00,training,49.53,simulation
2024-01-18 07:00:00,training,46.92,simulation
2024-01-18 08:00:00,training,47.74,simulation
2024-01-18 09:00:00,training,48.46,simulation
2024-01-18 10:00:00,training,45.02,simulation
2024-01-18 11:00:00,training,45.53,simulation
2024-01-18 12:00:00,training,48.11,simulation
2024-01-18 13:00:00,training,44.87,simulation
2024-01-18 14:00:00,training,43.21,simulation
2024-01-18 15:00:00,idle,4.35,simulation
2024-01-18 16:00:00,idle,6.24,simulation
2024-01-18 17:00:00,inference,27.22,simulation
2024-01-18 18:00:00,inference,20.46,simulation
2024-01-18 19:00:00,inference,23.96,simulation
2024-01-18 20:00:00,inference,23.0,simulation
2024-01-18 21:00:00,inference,18.19,simulation
2024-01-18 22:00:00,inference,8.58,simulation
2024-01-18 23:00:00,inference,14.28,simulation
2024-01-19 00:00:00,inference,13.35,simulation
2024-01-19 01:00:00,inference,14.91,simulation
2024-01-19 02:00:00,inference,13.99,simulation
2024-01-19 03:00:00,inference,9.48,simulation
2024-01-19 04:00:00,inference,12.44,simulation
2024-01-19 05:00:00,inference,16.52,simulation
2024-01-19 06:00:00,inference,19.35,simulation
2024-01-19 07:00:00,inference,23.33,simulation
2024-01-19 08:00:00,inference,23.44,simulation
2024-01-19 09:00:00,inference,19.87,simulation
2024-01-19 10:00:00,inference,29.49,simulation
2024-01-19 11:00:00,inference,24.63,simulation
2024-01-19 12:00:00,inference,21.88,simulation
2024-01-19 13:00:00,inference,32.2,simulation
2024-01-19 14:00:00,inference,25.82,simulation
2024-01-19 15:00:00,inference,30.81,simulation
2024-01-19 16:00:00,training,47.03,simulation
2024-01-19 17:00:00,training,47.8,simulation
2024-01-19 18:00:00,training,45.5,simulation
2024-01-19 19:00:00,training,45.58,simulation
2024-01-19 20:00:00,training,45.62,simulation
2024-01-19 21:00:00,training,47.56,simulation
2024-01-19 22:00:00,training,47.94,simulation
2024-01-19 23:00:00,training,47.11,simulation
2024-01-20 00:00:00,training,45.19,simulation
2024-01-20 01:00:00,training,47.02,simulation
2024-01-20 02:00:00,training,46.79,simulation
2024-01-20 03:00:00,training,43.48,simulation
2024-01-20 04:00:00,training,50.22,simulation
2024-01-20 05:00:00,training,44.89,simulation
2024-01-20 06:00:00,training,49.22,simulation
2024-01-20 07:00:00,training,45.47,simulation
2024-01-20 08:00:00,idle,3.04,simulation
2024-01-20 09:00:00,idle,5.07,simulation
2024-01-20 10:00:00,idle,2.43,simulation
2024-01-20 11:00:00,inference,18.62,simulation
2024-01-20 12:00:00,inference,22.83,simulation
2024-01-20 13:00:00,inference,15.99,simulation
2024-01-20 14:00:00,inference,13.97,simulation
2024-01-20 15:00:00,idle,1.75,simulation
2024-01-20 16:00:00,idle,1.7,simulation
2024-01-20 17:00:00,inference,14.55,simulation
2024-01-20 18:00:00,inference,15.37,simulation
2024-01-20 19:00:00,inference,9.92,simulation
2024-01-20 20:00:00,inference,12.64,simulation
2024-01-20 21:00:00,inference,12.3,simulation
2024-01-20 22:00:00,inference,6.55,simulation
2024-01-20 23:00:00,inference,8.46,simulation
2024-01-21 00:00:00,inference,4.48,simulation
2024-01-21 01:00:00,inference,6.28,simulation
2024-01-21 02:00:00,inference,4.58,simulation
2024-01-21 03:00:00,inference,6.44,simulation
2024-01-21 04:00:00,inference,6.02,simulation
2024-01-21 05:00:00,inference,9.04,simulation
2024-01-21 06:00:00,inference,5.34,simulation
2024-01-21 07:00:00,inference,6.59,simulation
2024-01-21 08:00:00,inference,9.03,simulation
2024-01-21 09:00:00,inference,13.15,simulation
2024-01-21 10:00:00,inference,13.76,simulation
2024-01-21 11:00:00,inference,10.96,simulation
2024-01-21 12:00:00,inference,12.22,simulation
2024-01-21 13:00:00,inference,11.88,simulation
2024-01-21 14:00:00,inference,12.69,simulation
2024-01-21 15:00:00,inference,11.81,simulation
2024-01-21 16:00:00,inference,8.44,simulation
2024-01-21 17:00:00,training,48.05,simulation
2024-01-21 18:00:00,training,49.64,simulation
2024-01-21 19:00:00,training,45.25,simulation
2024-01-21 20:00:00,training,49.59,simulation
2024-01-21 21:00:00,training,48.98,simulation
2024-01-21 22:00:00,training,46.74,simulation
2024-01-21 23:00:00,training,49.75,simulation
2024-01-22 00:00:00,training,45.49,simulation
2024-01-22 01:00:00,training,45.65,simulation
2024-01-22 02:00:00,training,49.08,simulation
2024-01-22 03:00:00,training,50.51,simulation
2024-01-22 04:00:00,training,48.79,simulation
2024-01-22 05:00:00,training,48.42,simulation
2024-01-22 06:00:00,training,49.42,simulation
2024-01-22 07:00:00,training,46.15,simulation
2024-01-22 08:00:00,training,47.98,simulation
2024-01-22 09:00:00,training,49.92,simulation
2024-01-22 10:00:00,training,47.34,simulation
2024-01-22 11:00:00,training,47.41,simulation
2024-01-22 12:00:00,training,48.36,simulation
2024-01-22 13:00:00,training,48.03,simulation
2024-01-22 14:00:00,training,49.08,simulation
2024-01-22 15:00:00,training,49.02,simulation
2024-01-22 16:00:00,training,49.16,simulation
2024-01-22 17:00:00,idle,4.76,simulation
2024-01-22 18:00:00,idle,4.48,simulation
2024-01-22 19:00:00,idle,4.94,simulation
2024-01-22 20:00:00,idle,3.11,simulation
2024-01-22 21:00:00,inference,19.13,simulation
2024-01-22 22:00:00,inference,14.88,simulation
2024-01-22 23:00:00,inference,16.15,simulation
2024-01-23 00:00:00,inference,12.05,simulation
2024-01-23 01:00:00,inference,10.28,simulation
2024-01-23 02:00:00,idle,2.09,simulation
2024-01-23 03:00:00,idle,3.43,simulation
2024-01-23 04:00:00,idle,2.76,simulation
2024-01-23 05:00:00,idle,4.81,simulation
2024-01-23 06:00:00,inference,14.61,simulation
2024-01-23 07:00:00,inference,22.89,simulation
2024-01-23 08:00:00,inference,19.68,simulation
2024-01-23 09:00:00,inference,22.06,simulation
2024-01-23 10:00:00,inference,21.33,simulation
2024-01-23 11:00:00,inference,21.17,simulation
2024-01-23 12:00:00,inference,24.14,simulation
2024-01-23 13:00:00,inference,26.77,simulation
2024-01-23 14:00:00,inference,22.74,simulation
2024-01-23 15:00:00,inference,31.94,simulation
2024-01-23 16:00:00,inference,19.36,simulation
2024-01-23 17:00:00,inference,32.75,simulation
2024-01-23 18:00:00,inference,27.43,simulation
2024-01-23 19:00:00,idle,2.06,simulation
2024-01-23 20:00:00,idle,3.56,simulation
2024-01-23 21:00:00,idle,4.4,simulation
2024-01-23 22:00:00,idle,2.34,simulation
2024-01-23 23:00:00,inference,12.2,simulation
2024-01-24 00:00:00,inference,11.56,simulation
2024-01-24 01:00:00,inference,13.6,simulation
2024-01-24 02:00:00,inference,15.28,simulation
2024-01-24 03:00:00,inference,10.02,simulation
2024-01-24 04:00:00,inference,15.5,simulation
2024-01-24 05:00:00,idle,3.46,simulation
2024-01-24 06:00:00,idle,4.56,simulation
2024-01-24 07:00:00,inference,20.54,simulation
2024-01-24 08:00:00,inference,20.95,simulation
2024-01-24 09:00:00,inference,33.47,simulation
2024-01-24 10:00:00,inference,25.39,simulation
2024-01-24 11:00:00,inference,23.55,simulation
2024-01-24 12:00:00,inference,22.84,simulation
2024-01-24 13:00:00,idle,5.36,simulation
2024-01-24 14:00:00,inference,28.8,simulation
2024-01-24 15:00:00,inference,22.12,simulation
2024-01-24 16:00:00,inference,23.08,simulation
2024-01-24 17:00:00,inference,24.77,simulation
2024-01-24 18:00:00,idle,6.11,simulation
2024-01-24 19:00:00,inference,25.78,simulation
2024-01-24 20:00:00,inference,16.87,simulation
2024-01-24 21:00:00,inference,18.31,simulation
2024-01-24 22:00:00,inference,11.84,simulation
2024-01-24 23:00:00,inference,13.7,simulation
2024-01-25 00:00:00,inference,15.22,simulation
2024-01-25 01:00:00,inference,9.74,simulation
2024-01-25 02:00:00,inference,11.59,simulation
2024-01-25 03:00:00,inference,13.5,simulation
2024-01-25 04:00:00,inference,7.82,simulation
2024-01-25 05:00:00,idle,3.6,simulation
2024-01-25 06:00:00,idle,3.77,simulation
2024-01-25 07:00:00,idle,6.53,simulation
2024-01-25 08:00:00,idle,3.83,simulation
2024-01-25 09:00:00,idle,7.01,simulation
2024-01-25 10:00:00,idle,4.59,simulation
2024-01-25 11:00:00,idle,6.12,simulation
2024-01-25 12:00:00,idle,6.49,simulation
